Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Луценко,Георгій,Андрійович,Чоловіча,20.09.1985,Математик,місто Сміла,"парк Фабрична, буд. 1 кв. 4, Звенигородка, 42936",034 760 91 89,datsiukruslan@example.com
Рябовіл,Світлана,Сергіївна,Жіноча,18.03.1980,Математик,селище Попасна,"парк Градоначальницька, буд. 13, Кременчук, 73373",064 794-14-81,oksanadrozdenko@example.org
Авдєєнко,Ярина,Іванівна,Жіноча,20.12.1998,Секретар,село Часів Яр,"сквер Лінія 40-ва, буд. 604 кв. 0, Новоград-Волинський, 77650",087 015-36-65,kozachenkoboleslav@example.net
Гавришкевич,Пилип,Денисович,Чоловіча,25.04.1986,Ді-джей,селище Горлівка,"сквер Танфільєва, буд. 0, Щолкіне, 91954",017 228 02 74,malyshkoalbert@example.org
Захарченко,Ігнат,Андрійович,Чоловіча,07.03.1961,Електротехнік,місто Гуляйполе,"парк Соляний 6-й, буд. 4, Ворожба, 99614",+380 (18) 566-27-71,bohdannadanchenko@example.com
Бабко,Макар,Васильович,Чоловіча,27.11.1984,Менеджер,місто Генічеськ,"вулиця Лінія 40-ва, буд. 35, Берестечко, 57554",+380 (97) 201-65-52,lukianshyian@example.com
Кабалюк,Марко,Олегович,Чоловіча,27.09.1995,Слідчий,хутір Васильків,"узвіз Івана Микитенка, буд. 959 кв. 27, Рава-Руська, 06102",015 775-78-93,spas96@example.com
Баранець,Тетяна,Ярославівна,Жіноча,14.12.1954,Складальник,село Старий Самбір,"узвіз Чапаєва, буд. 48 кв. 41, Березань , 38842",503 24 47,okseniia59@example.net
Бабко,Єлисавета,Олегівна,Жіноча,06.04.1965,Електротехнік,селище Острог,"узвіз Учнівська, буд. 59, Носівка, 04373",218 04 68,amvrosii07@example.org
Джус,Тарас,Денисович,Чоловіча,21.12.2002,Ді-джей,хутір Мирноград,"сквер Стражеска Миколи, буд. 179 кв. 3, Чоп, 95035",+380 (29) 741-59-37,lespustovit@example.com
Іваничук,Теодор,Петрович,Чоловіча,04.09.1977,Піаніст,селище Олевськ,"вулиця Тираспольська, буд. 661 кв. 67, Костопіль, 13890",079 675-19-97,dsalii@example.net
Перепелиця,Костянтин,Ярославович,Чоловіча,10.01.2005,Єгер,місто Валки ,"проспект Водопровідна, буд. 67 кв. 388, Носівка, 32165",+380 35 084-94-70,kadamenko@example.net
Засядько,Михайлина,Андріївна,Жіноча,05.05.2006,Підприємець,місто Хрестівка,"парк Книжковий, буд. 3, Глухів, 08595",414 74 39,olenasirchenko@example.net
Бандурка,Дарина,Іванівна,Жіноча,01.12.1943,Кінолог,місто Полонне,"парк Республіканська, буд. 886, Славутич, 78775",061 867-00-79,udziuba@example.net
Євтушок,Дарина,Михайлівна,Жіноча,24.11.1993,Золотар,місто Копичинці,"сквер Сільськогосподарський, буд. 499, Боково-Хрустальне, 20735",004 229-99-99,zynoviitsisyk@example.org
Яремків,Венедикт,Васильович,Чоловіча,12.04.1980,Скульптор,місто Кам'янка-Дніпровська,"сквер Керченська, буд. 236, Червоносів, 94966",+380 76 543-46-86,ievhenhaievskyi@example.com
Ірванець,Владислав,Михайлович,Чоловіча,24.05.1977,Кінолог,село Старий Крим,"узвіз Велика Садова, буд. 389, Шаргород, 55397",041 137 45 10,zabilaielysaveta@example.org
Скиба,Віктор,Михайлович,Чоловіча,01.04.1948,Агроном,місто Феодосія,"узвіз Багрицького, буд. 5 кв. 0, Тараща, 78568",695 87 32,onysymbashpolchenko@example.org
Токар,Лілія,Денисівна,Жіноча,03.06.1978,Патологоанатом,селище Бурштин ,"парк Одарія, буд. 7, Тульчин, 92158",093 745-59-81,mtarasenko@example.org
Чарниш,Хома,Ярославович,Чоловіча,14.07.2001,Палеонтолог,місто Кропивницький,"узвіз Соляний 2-й, буд. 400, Жашків, 66229",+380 06 347-13-75,galeksiuk@example.org
Безбородьки,Єва,Артемівна,Жіноча,05.12.1976,Стропальник,селище Городище ,"набережна Колонтаївська, буд. 05 кв. 863, Путивль, 83518",480-69-08,averchenkoparmen@example.net
Дзюба,Олекса,Васильович,Чоловіча,10.06.1980,Шериф,місто Старий Самбір,"шосе Кибальчича, буд. 1 кв. 6, Бобровиця, 65193",+380 (35) 485-36-70,symonadamchuk@example.org
Овсієнко,Ганна,Петрівна,Жіноча,24.10.1944,Модель,хутір Золотоноша,"узвіз Овідіопольський, буд. 694 кв. 7, Остер , 75789",083 345-09-63,zchumachenko@example.net
Копитко,Володимира,Денисівна,Жіноча,23.09.1994,Музичний редактор,хутір Баранівка,"провулок Лиманчик 2-й Лінія 2-га, буд. 5, Камінь-Каширський, 52350",987-82-92,ruslanisaievych@example.net
Алексюк,Петро,Ярославович,Чоловіча,21.05.2003,Географ,місто Надвірна,"проспект Курортний 6-й, буд. 5 кв. 527, Яготин, 27589",041 669-23-70,hbabiak@example.org
Башполченко,Стефан,Ярославович,Чоловіча,28.11.1947,Юрист,місто Бережани,"сквер Скворцова, буд. 635 кв. 4, Шахтарськ, 35750",722 02 67,zkozak@example.net
Гавриленко,Єфрем,Ярославович,Чоловіча,22.09.2003,Стиліст,село Решетилівка,"набережна Палубний, буд. 270, Зугрес, 86852",810 22 95,ihnat34@example.com
Демʼяненко,Ада,Василівна,Жіноча,17.04.1941,Стропальник,селище Конотоп,"вулиця Олександра Тимошенка, буд. 5, Устилуг, 91882",067 666 17 94,xdanylenko@example.com
Бараник,Мілена,Ярославівна,Жіноча,26.10.1997,Режисер,селище Вовчанськ,"площа Східчастий 4-й, буд. 4 кв. 44, Новгород-Сіверський, 68841",047 058-69-57,telizhenkovioletta@example.com
Дейнеко,Богдан,Денисович,Чоловіча,01.12.1983,Фрілансер,хутір Саки ,"площа Висока, буд. 78, Новий Буг, 79762",+380 59 501-86-10,cneporozhnii@example.net
Іщенко,Марта,Ярославівна,Жіноча,11.11.1993,Ґрунтознавець,хутір Луцьк,"вулиця Моторний 2-й, буд. 4, Червоноград, 84571",+380 37 244-04-04,vdovychenkooleksa@example.net
Рева,Демид,Петрович,Чоловіча,03.05.1977,Модель,хутір Часів Яр,"шосе Травневий 4-й, буд. 34, Бобровиця, 90127",+380 46 698-81-57,qdemianenko@example.org
Левченко,Феофан,Артемович,Чоловіча,28.10.2003,Редактор,місто Ржищів,"площа Кримська, буд. 994, Могилів-Подільський, 88002",979-19-83,bohuslavdzyndra@example.net
Малик,Антон,Олегович,Чоловіча,26.06.1968,Ювелір,місто Яготин,"шосе Рибальська балка, буд. 12 кв. 7, Перещепине, 86754",+380 (85) 773-63-27,sirobabaliza@example.com
Забашта,Борислав,Михайлович,Чоловіча,23.08.1950,Астрофізик,місто Червоноград,"узвіз Локомотивний 3-й, буд. 537, Городня, 15838",207 94 16,kavdieienko@example.net
Тимчук,Назар,Андрійович,Чоловіча,16.03.2003,Водій,місто Мукачево,"площа Некрасова, буд. 604, Слов'янськ, 17305",+380 91 746 69 98,violetta82@example.net
Гавриленко,Сніжана,Василівна,Жіноча,26.07.2003,Слідчий,селище Тлумач,"провулок Південна, буд. 16 кв. 70, Верхівцеве, 94872",+380 51 619-93-09,dmishchenko@example.net
Безбородьки,Адам,Васильович,Чоловіча,23.10.1941,Доцент,селище Першотравенськ,"площа Стахановський 4-й, буд. 1, Теребовля, 04253",+380 25 123-33-36,lizavelychko@example.net
Ткач,Олекса,Денисович,Чоловіча,21.07.1959,Будник,селище Роздільна,"площа Зоопаркова, буд. 14 кв. 300, Сулимівка (Слов'янськ), 86010",078 401-04-93,danchukbohuslava@example.org
